,ID,run,img_pair,choice,side,outcome,matched,RT,a_learnedprob_correct,b_learnedprob_correct,c_learnedprob_correct,d_learnedprob_correct,e_learnedprob_correct,f_learnedprob_correct,reinforcer_response
0,20,run01,CD,D,1,punish,matched,1.567713,,,1.0,0.0,,,
1,20,run01,AB,A,2,reward,matched,1.617780,1.0,0.0,,,,,
2,20,run01,EF,E,1,reward,matched,1.599877,,,,,1.0,0.0,
3,20,run01,CD,C,1,reward,matched,1.598722,,,1.0,0.0,,,exploit_punish
4,20,run01,AB,B,1,reward,mismatched,1.596729,0.5,0.5,,,,,explore_reward
5,20,run01,EF,E,2,punish,mismatched,1.597077,,,,,0.5,0.5,exploit_reward
6,20,run01,EF,E,1,reward,matched,1.595632,,,,,0.6666666666666666,0.33333333333333337,explore_punish
7,20,run01,CD,D,2,punish,matched,1.611671,,,1.0,0.0,,,explore_reward
8,20,run01,AB,A,2,reward,matched,1.627110,0.6666666666666666,0.33333333333333337,,,,,explore_reward
9,20,run01,CD,D,1,reward,mismatched,1.608506,,,0.75,0.25,,,explore_punish
10,20,run01,AB,B,1,punish,matched,1.608694,0.75,0.25,,,,,explore_reward
11,20,run01,AB,B,1,reward,mismatched,1.590042,0.6,0.4,,,,,explore_punish
12,20,run01,CD,C,2,reward,matched,1.607106,,,0.8,0.19999999999999996,,,explore_reward
13,20,run01,EF,F,1,reward,mismatched,1.604821,,,,,0.5,0.5,explore_reward
14,20,run01,CD,C,1,reward,matched,1.621517,,,0.8333333333333334,0.16666666666666663,,,exploit_reward
15,20,run01,AB,Miss,Miss,Miss,Miss,Miss,,,,,,,miss_response
16,20,run01,AB,B,2,punish,matched,1.586292,0.6666666666666666,0.33333333333333337,,,,,miss_response
17,20,run01,AB,B,1,punish,matched,1.602033,0.7142857142857143,0.2857142857142857,,,,,explore_punish
18,20,run01,EF,F,2,punish,matched,1.599611,,,,,0.6,0.4,exploit_reward
